id,data_source,product_name,substance_name,INN,manufacturer,route,physical_form,physical_form_binary,API_concentration_mg_ml,API_concentration_mg_ml_min,API_concentration_mg_ml_max,API_concentration_mg_ml_op,API_concentration_mg_ml_mentioned,F_percent,F_percent_min,F_percent_max,F_percent_op,F_percent_mentioned,CL_L_per_day,CL_L_per_day_min,CL_L_per_day_max,CL_L_per_day_op,CL_L_per_day_mentioned,CL_L_per_day_per_kg,CL_kind,Vd_L,Vd_L_min,Vd_L_max,Vd_L_op,Vd_L_mentioned,Vd_L_per_kg,Vd_kind,TMDD_mentioned,TMDD_keywords_found,ex_ps80,ex_his,ex_sucr,ex_ps20,ex_nacl,ex_acet,ex_treh,ex_citr,ex_phos,ex_arg,ex_edta,ex_met,ex_sorb,ex_mann,ex_gly,is_biosimilar,extraction_date,created_at,strength_total_mg,strength_total_volume_ml,strength_label,strength_source,inn_norm
118,FDA,MARGENZA,margetuximab-cmkb,margetuximab,"MacroGenics, Inc.",IV,solution,0.0,25.0,,,,1.0,,,,,0.0,0.22,,,=,1.0,,CL,5.47,,,=,1.0,,Vss,1.0,nonlinear elimination,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2026-04-13 17:11:47,2026-04-14 09:17:07,,,,,margetuximab
119,FDA,HYMPAVZI,marstacimab-hncq,,"Pfizer Labs, Division of Pfizer Inc.",SC,solution,0.0,150.0,,,=,1.0,71.0,,,=,1.0,,,,,1.0,,CL,8.6,,,=,1.0,,V/F,1.0,"non-linear pharmacokinetics,target-mediated drug disposition,TMDD",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2026-04-13 17:12:16,2026-04-14 09:17:07,,,,,marstacimab
120,FDA,NUCALA,mepolizumab,mepolizumab,GlaxoSmithKline,SC,solution,0.0,100.0,,,=,1.0,80.0,,,=,1.0,0.28,,,=,1.0,,CL/F,3.6,,,=,1.0,,Vc,0.0,,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2026-04-13 17:13:17,2026-04-14 09:17:07,,,,,mepolizumab
121,FDA,NUCALA,mepolizumab,mepolizumab,GlaxoSmithKline,SC,lyophilized powder,1.0,100.0,,,=,1.0,80.0,,,=,1.0,0.28,,,=,1.0,,CL/F,3.6,,,=,1.0,,Vc,0.0,,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2026-04-13 17:13:17,2026-04-14 09:17:07,,,,,mepolizumab
122,FDA,OMVOH,mirikizumab-mrkz,mirikizumab,Eli Lilly and Company,IV,concentrate,2.0,20.0,,,=,1.0,,,,,0.0,0.5172,0.4848,0.5496,range,1.0,,CL,4.615,4.4,4.83,range,1.0,,Vd,0.0,,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2026-04-13 17:14:39,2026-04-14 09:17:07,,,,,mirikizumab
123,FDA,OMVOH,mirikizumab-mrkz,mirikizumab,Eli Lilly and Company,SC,solution,0.0,100.0,,,=,1.0,40.15,36.3,44.0,range,1.0,0.5172,0.4848,0.5496,range,1.0,,CL,4.615,4.4,4.83,range,1.0,,Vd,0.0,,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2026-04-13 17:14:39,2026-04-14 09:17:07,,,,,mirikizumab
124,FDA,POTELIGEO,mogamulizumab-kpkc,mogamulizumab,"Kyowa Kirin, Inc.",IV,concentrate,2.0,4.0,,,=,1.0,,,,,0.0,0.288,,,=,1.0,,CL,3.6,,,=,1.0,,Vc,0.0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2026-04-13 17:18:30,2026-04-14 09:17:07,,,,,mogamulizumab
127,FDA,YARTEMLEA,narsoplimab-wuug,,Omeros Corporation,IV,solution,0.0,185.0,,,=,1.0,100.0,,,=,1.0,2.88,,,=,1.0,,CL,10.9,,,=,1.0,,Vd,1.0,"less than dose-proportional, concentration-dependent clearance",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2026-04-13 17:20:17,2026-04-14 09:17:07,,,,,narsoplimab
128,FDA,TYSABRI,natalizumab,natalizumab,Biogen Idec Inc.,IV,concentrate,2.0,20.0,,,=,1.0,,,,,0.0,0.456,0.384,0.528,range,1.0,,CL,5.45,5.2,5.7,range,1.0,,Vd,0.0,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2026-04-13 17:20:58,2026-04-14 09:17:07,,,,,natalizumab
129,FDA,TYRUKO,natalizumab-sztn,natalizumab,Sandoz Inc.,IV,concentrate,2.0,20.0,,,=,1.0,,,,,0.0,0.456,0.384,0.528,range,1.0,,CL,5.45,5.2,5.7,range,1.0,,Vd,0.0,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 17:21:43,2026-04-14 09:17:07,,,,,natalizumab
